Timestamp, hpm 2.5, hpm 10, time,Date, time, hmd,PM25 FEM
1534269607,24,26,8/14/18 13:00,8/14/18 13:00,8/14/18 13:00,41.93,22.5
1534273207,30,32,8/14/18 14:00,8/14/18 14:00,8/14/18 14:00,49.33,22.7
1534276807,37,39,8/14/18 15:00,8/14/18 15:00,8/14/18 15:00,46.35,26
1534280407,57,59,8/14/18 16:00,8/14/18 16:00,8/14/18 16:00,53.07,33.2
1534284007,50,52,8/14/18 17:00,8/14/18 17:00,8/14/18 17:00,54.17,22.9
1534287607,35,37,8/14/18 18:00,8/14/18 18:00,8/14/18 18:00,59.44,23.2
1534291207,35,37,8/14/18 19:00,8/14/18 19:00,8/14/18 19:00,63.24,28
1534294807,40,42,8/14/18 20:00,8/14/18 20:00,8/14/18 20:00,71.22,31
1534298407,36,38,8/14/18 21:00,8/14/18 21:00,8/14/18 21:00,79.48,30.6
1534302007,39,41,8/14/18 22:00,8/14/18 22:00,8/14/18 22:00,81.57,30
1534305607,45,47,8/14/18 23:00,8/14/18 23:00,8/14/18 23:00,83.6,28.4
1534309207,38,40,8/15/18 0:00,8/15/18 0:00,8/15/18 0:00,80.04,26.6
1534312807,39,41,8/15/18 1:00,8/15/18 1:00,8/15/18 1:00,78.43,25.4
1534316407,36,38,8/15/18 2:00,8/15/18 2:00,8/15/18 2:00,81.9,25.7
1534320007,35,37,8/15/18 3:00,8/15/18 3:00,8/15/18 3:00,80.75,22.2
1534323607,22,23,8/15/18 4:00,8/15/18 4:00,8/15/18 4:00,80.01,21.6
1534327207,30,32,8/15/18 5:00,8/15/18 5:00,8/15/18 5:00,80.55,21.7
1534330807,32,34,8/15/18 6:00,8/15/18 6:00,8/15/18 6:00,81.81,16.7
1534334407,31,33,8/15/18 7:00,8/15/18 7:00,8/15/18 7:00,78.89,13.6
1534338007,30,32,8/15/18 8:00,8/15/18 8:00,8/15/18 8:00,75.44,14.6
1534345207,22,23,8/15/18 10:00,8/15/18 10:00,8/15/18 10:00,65.23,16.7
1534348807,28,30,8/15/18 11:00,8/15/18 11:00,8/15/18 11:00,66.49,18.4
1534352407,23,24,8/15/18 12:00,8/15/18 12:00,8/15/18 12:00,64.48,24
1534356007,36,38,8/15/18 13:00,8/15/18 13:00,8/15/18 13:00,61.79,18.9
1534359607,25,27,8/15/18 14:00,8/15/18 14:00,8/15/18 14:00,62.49,26.3
1534363207,25,27,8/15/18 15:00,8/15/18 15:00,8/15/18 15:00,58.57,25.3
1534366807,28,30,8/15/18 16:00,8/15/18 16:00,8/15/18 16:00,68.24,20.9
1534370407,17,18,8/15/18 17:00,8/15/18 17:00,8/15/18 17:00,68.66,20.1
1534374007,31,33,8/15/18 18:00,8/15/18 18:00,8/15/18 18:00,75.29,25.4
1534377607,35,37,8/15/18 19:00,8/15/18 19:00,8/15/18 19:00,76.63,19.6
1534381207,16,17,8/15/18 20:00,8/15/18 20:00,8/15/18 20:00,81.2,9.7
1534384807,10,11,8/15/18 21:00,8/15/18 21:00,8/15/18 21:00,86.12,10
1534388407,13,14,8/15/18 22:00,8/15/18 22:00,8/15/18 22:00,86.71,12.5
1534392007,15,16,8/15/18 23:00,8/15/18 23:00,8/15/18 23:00,85.76,12.6
1534395607,23,24,8/16/18 0:00,8/16/18 0:00,8/16/18 0:00,85.19,11.7
1534399207,17,18,8/16/18 1:00,8/16/18 1:00,8/16/18 1:00,86.08,13.1
1534402807,21,22,8/16/18 2:00,8/16/18 2:00,8/16/18 2:00,88,14.4
1534406407,33,35,8/16/18 3:00,8/16/18 3:00,8/16/18 3:00,89.18,13.9
1534410007,24,25,8/16/18 4:00,8/16/18 4:00,8/16/18 4:00,89.17,19.3
1534413607,57,59,8/16/18 5:00,8/16/18 5:00,8/16/18 5:00,91.17,18
1534417207,23,24,8/16/18 6:00,8/16/18 6:00,8/16/18 6:00,93.51,11.7
1534424407,27,29,8/16/18 8:00,8/16/18 8:00,8/16/18 8:00,82.32,3.9
1534428007,24,25,8/16/18 9:00,8/16/18 9:00,8/16/18 9:00,82.51,1.1
1534431607,18,19,8/16/18 10:00,8/16/18 10:00,8/16/18 10:00,71.21,9
1534435207,11,12,8/16/18 11:00,8/16/18 11:00,8/16/18 11:00,70.35,-0.8
1534438807,14,15,8/16/18 12:00,8/16/18 12:00,8/16/18 12:00,68.01,7
1534442407,17,18,8/16/18 13:00,8/16/18 13:00,8/16/18 13:00,67.37,8.5
1534446007,12,13,8/16/18 14:00,8/16/18 14:00,8/16/18 14:00,63.49,11.2
1534449607,15,16,8/16/18 15:00,8/16/18 15:00,8/16/18 15:00,67.1,6.3
1534456807,8,9,8/16/18 17:00,8/16/18 17:00,8/16/18 17:00,65.8,8.9
1534460407,10,11,8/16/18 18:00,8/16/18 18:00,8/16/18 18:00,69.16,11.6
1534464007,14,15,8/16/18 19:00,8/16/18 19:00,8/16/18 19:00,76.57,13.7
1534467607,11,12,8/16/18 20:00,8/16/18 20:00,8/16/18 20:00,80.08,12.9
1534471207,12,13,8/16/18 21:00,8/16/18 21:00,8/16/18 21:00,81.6,8.9
1534474807,9,10,8/16/18 22:00,8/16/18 22:00,8/16/18 22:00,82.78,8.5
1534478407,10,11,8/16/18 23:00,8/16/18 23:00,8/16/18 23:00,82.97,7.3
1534482007,12,13,8/17/18 0:00,8/17/18 0:00,8/17/18 0:00,83.83,2.5
1534485607,6,7,8/17/18 1:00,8/17/18 1:00,8/17/18 1:00,90.74,-3.3
1534489207,6,7,8/17/18 2:00,8/17/18 2:00,8/17/18 2:00,92.89,1.2
1534492807,5,6,8/17/18 3:00,8/17/18 3:00,8/17/18 3:00,94.25,3.1
1534496407,7,8,8/17/18 4:00,8/17/18 4:00,8/17/18 4:00,96.1,7.6
1534500007,9,10,8/17/18 5:00,8/17/18 5:00,8/17/18 5:00,95.4,7.4
1534503607,11,12,8/17/18 6:00,8/17/18 6:00,8/17/18 6:00,96.14,7.7
1534507207,16,17,8/17/18 7:00,8/17/18 7:00,8/17/18 7:00,98.07,6.9
1534510807,40,42,8/17/18 8:00,8/17/18 8:00,8/17/18 8:00,96.25,7.9
1534518007,30,32,8/17/18 10:00,8/17/18 10:00,8/17/18 10:00,89.14,1.3
1534521607,8,9,8/17/18 11:00,8/17/18 11:00,8/17/18 11:00,69.67,7.5
1534525207,11,12,8/17/18 12:00,8/17/18 12:00,8/17/18 12:00,77.46,0
1534528807,11,12,8/17/18 13:00,8/17/18 13:00,8/17/18 13:00,73.99,1.9
1534532407,5,6,8/17/18 14:00,8/17/18 14:00,8/17/18 14:00,64.17,4.4
1534536007,5,6,8/17/18 15:00,8/17/18 15:00,8/17/18 15:00,68.68,-2.1
1534539607,6,7,8/17/18 16:00,8/17/18 16:00,8/17/18 16:00,62.31,-0.4
1534543207,9,10,8/17/18 17:00,8/17/18 17:00,8/17/18 17:00,70.92,5.3
1534546807,7,8,8/17/18 18:00,8/17/18 18:00,8/17/18 18:00,75.79,10.4
1534550407,10,11,8/17/18 19:00,8/17/18 19:00,8/17/18 19:00,76.98,7.5
1534554007,7,8,8/17/18 20:00,8/17/18 20:00,8/17/18 20:00,80.76,10.9
1534557607,25,27,8/17/18 21:00,8/17/18 21:00,8/17/18 21:00,84.09,15.1
1534561207,28,30,8/17/18 22:00,8/17/18 22:00,8/17/18 22:00,86.05,16.9
1534564807,27,29,8/17/18 23:00,8/17/18 23:00,8/17/18 23:00,85.55,17.5
1534568407,32,34,8/18/18 0:00,8/18/18 0:00,8/18/18 0:00,90.87,18.9
1534575607,37,39,8/18/18 2:00,8/18/18 2:00,8/18/18 2:00,95.65,17.6
1534579207,39,41,8/18/18 3:00,8/18/18 3:00,8/18/18 3:00,96.43,20.4
1534582807,48,50,8/18/18 4:00,8/18/18 4:00,8/18/18 4:00,96.48,17.7
1534586407,53,55,8/18/18 5:00,8/18/18 5:00,8/18/18 5:00,97.86,13.7
1534593607,40,42,8/18/18 7:00,8/18/18 7:00,8/18/18 7:00,97.14,6.6
1534597207,29,31,8/18/18 8:00,8/18/18 8:00,8/18/18 8:00,92.33,4.3
1534600807,13,14,8/18/18 9:00,8/18/18 9:00,8/18/18 9:00,82.26,-2.6
