Timestamp, hpm 2.5, hpm 10, time
1534267807,26,28,08-14 12:30
1534268407,24,25,08-14 12:40
1534269007,23,24,08-14 12:50
1534269607,25,27,08-14 13:00
1534270207,36,38,08-14 13:10
1534270807,33,35,08-14 13:20
1534271407,32,34,08-14 13:30
1534272007,31,33,08-14 13:40
1534272607,32,34,08-14 13:50
1534273207,31,33,08-14 14:00
1534273807,31,33,08-14 14:10
1534274407,30,32,08-14 14:20
1534275007,34,36,08-14 14:30
1534275607,33,35,08-14 14:40
1534276207,34,36,08-14 14:50
1534276807,38,40,08-14 15:00
1534277407,37,39,08-14 15:10
1534278607,38,40,08-14 15:30
1534279207,36,38,08-14 15:40
1534279807,36,38,08-14 15:50
1534280407,36,38,08-14 16:00
1534281007,36,38,08-14 16:10
1534281607,34,36,08-14 16:20
1534282207,36,38,08-14 16:30
1534282807,35,37,08-14 16:40
1534283407,34,36,08-14 16:50
1534284007,32,34,08-14 17:00
1534284607,31,33,08-14 17:10
1534285207,32,34,08-14 17:20
1534285807,32,34,08-14 17:30
1534286407,32,34,08-14 17:40
1534287007,34,36,08-14 17:50
1534287607,31,33,08-14 18:00
1534288807,38,40,08-14 18:20
1534289407,32,34,08-14 18:30
1534290007,36,38,08-14 18:40
1534290607,34,36,08-14 18:50
1534291207,34,36,08-14 19:00
1534291807,34,36,08-14 19:10
1534292407,35,37,08-14 19:20
1534293007,37,39,08-14 19:30
1534293607,34,36,08-14 19:40
1534294207,35,37,08-14 19:50
1534294807,44,46,08-14 20:00
1534295407,37,39,08-14 20:10
1534296007,42,44,08-14 20:20
1534296607,36,38,08-14 20:30
1534297207,36,38,08-14 20:40
1534297807,39,41,08-14 20:50
1534298407,38,40,08-14 21:00
1534299007,35,37,08-14 21:10
1534299607,38,40,08-14 21:20
1534300207,36,38,08-14 21:30
1534300807,41,43,08-14 21:40
1534301407,39,41,08-14 21:50
1534302007,40,42,08-14 22:00
1534302607,41,43,08-14 22:10
1534303207,36,38,08-14 22:20
1534303807,40,42,08-14 22:30
1534304407,40,42,08-14 22:40
1534305007,41,43,08-14 22:50
1534305607,41,43,08-14 23:00
1534306807,41,43,08-14 23:20
1534307407,42,44,08-14 23:30
1534308007,36,38,08-14 23:40
1534308607,38,40,08-14 23:50
1534309207,37,39,08-15 00:00
1534309807,38,40,08-15 00:10
1534310407,40,42,08-15 00:20
1534311007,38,40,08-15 00:30
1534311607,37,39,08-15 00:40
1534312207,39,41,08-15 00:50
1534312807,35,37,08-15 01:00
1534313407,33,35,08-15 01:10
1534314007,41,43,08-15 01:20
1534314607,36,38,08-15 01:30
1534315207,37,39,08-15 01:40
1534316407,37,39,08-15 02:00
1534317007,40,42,08-15 02:10
1534317607,32,34,08-15 02:20
1534318207,34,36,08-15 02:30
1534318807,32,34,08-15 02:40
1534319407,33,35,08-15 02:50
1534320007,32,34,08-15 03:00
1534320607,33,35,08-15 03:10
1534321207,33,35,08-15 03:20
1534322407,29,31,08-15 03:40
1534323007,29,31,08-15 03:50
1534323607,29,31,08-15 04:00
1534324207,31,33,08-15 04:10
1534324807,32,34,08-15 04:20
1534325407,30,32,08-15 04:30
1534326007,28,30,08-15 04:40
1534326607,26,28,08-15 04:50
1534327807,28,30,08-15 05:10
1534328407,29,31,08-15 05:20
1534329007,27,29,08-15 05:30
1534329607,28,30,08-15 05:40
1534330207,25,27,08-15 05:50
1534330807,28,30,08-15 06:00
1534331407,27,29,08-15 06:10
1534332007,29,31,08-15 06:20
1534332607,27,29,08-15 06:30
1534333207,29,31,08-15 06:40
1534333807,28,30,08-15 06:50
1534334407,30,32,08-15 07:00
1534335007,28,30,08-15 07:10
1534335607,27,29,08-15 07:20
1534336207,31,33,08-15 07:30
1534336807,30,32,08-15 07:40
1534337407,30,32,08-15 07:50
1534338007,28,30,08-15 08:00
